# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
每天,每天,měi tiān,"every day
everyday",小飞每天都找妈妈，他希望妈妈和他在一起。,小飛每天都找媽媽，他希望媽媽和他在一起。,xiǎo fēi měi tiān dōu zhǎo mā ma ， tā xī wàng mā ma hé tā zài yì qǐ 。,Little Fei came to look for Mom every day. He hoped that Mom would be with him.
快乐,快樂,kuài lè,"happy
merry",六、快乐是什么,六、快樂是什麼,liù 、 kuài lè shì shén me,(6) What Is Happiness?
有的,有的,yǒu de,"(there are) some
some (exist)",那个时候很累，有的时候没有吃的，有的时候很冷，没有地方睡觉，,那個時候很累，有的時候沒有吃的，有的時候很冷，沒有地方睡覺，,nà ge shí hou hěn lèi ， yǒu de shí hou méi yǒu chī de ， yǒu de shí hou hěn lěng ， méi yǒu dì fang shuì jiào ，,"Those days were very tiring. Sometimes there was nothing to eat, sometimes it was very cold, and there was nowhere to sleep."
儿子,兒子,ér zi,son,小飞的爸爸妈妈也打电话给妈妈，他们希望妈妈和他们的儿子在一起。,小飛的爸爸媽媽也打電話給媽媽，他們希望媽媽和他們的兒子在一起。,xiǎo fēi de bà ba mā ma yě dǎ diàn huà gěi mā ma ， tā men xī wàng mā ma hé tā men de ér zi zài yì qǐ 。,Little Fei’s mom and dad also called Mom. They hoped that Mom and their son would be together.
哭,哭,kū,"to cry
to weep",妈妈已经三天没有好好吃饭了。妈妈已经一个星期没有睡觉了。每天晚上她都在哭。,媽媽已經三天沒有好好吃飯了。媽媽已經一個星期沒有睡覺了。每天晚上她都在哭。,mā ma yǐ jīng sān tiān méi yǒu hǎo hǎo chī fàn le 。 mā ma yǐ jīng yí ge xīng qī méi yǒu shuì jiào le 。 měi tiān wǎn shang tā dōu zài kū 。,"Mom had not eaten properly for three days. Mom had not slept for a week. Every night, she would cry."
听,聽,tīng,"to listen
to hear
to obey",他们觉得妈妈是错的，他们是对的。他们想妈妈听他们的话。,他們覺得媽媽是錯的，他們是對的。他們想媽媽聽他們的話。,tā men jué de mā ma shì cuò de ， tā men shì duì de 。 tā men xiǎng mā ma tīng tā men de huà 。,They thought that Mom was wrong and that they were right. They wanted Mom to listen to them.
错,錯,cuò,"wrong
erroneous
incorrect",他们觉得妈妈是错的，他们是对的。他们想妈妈听他们的话。,他們覺得媽媽是錯的，他們是對的。他們想媽媽聽他們的話。,tā men jué de mā ma shì cuò de ， tā men shì duì de 。 tā men xiǎng mā ma tīng tā men de huà 。,They thought that Mom was wrong and that they were right. They wanted Mom to listen to them.
希望,希望,xī wàng,"to wish for
to desire
to hope",他们都不喜欢大北，他们希望妈妈和大北分手。,他們都不喜歡大北，他們希望媽媽和大北分手。,tā men dōu bù xǐ huan dà běi ， tā men xī wàng mā ma hé dà běi fēn shǒu 。,They didn’t like Dabei. They hoped that Mom and Dabei would break up.
分手,分手,fēn shǒu,"to split up
to break up",他们都不喜欢大北，他们希望妈妈和大北分手。,他們都不喜歡大北，他們希望媽媽和大北分手。,tā men dōu bù xǐ huan dà běi ， tā men xī wàng mā ma hé dà běi fēn shǒu 。,They didn’t like Dabei. They hoped that Mom and Dabei would break up.
还,還,hái,"still
yet",她还没有吃早饭，她还在和姥姥打电话。,她還沒有吃早飯，她還在和姥姥打電話。,tā hái méi yǒu chī zǎo fàn ， tā hái zài hé lǎo lao dǎ diàn huà 。,She still hadn’t eaten breakfast. She was still talking to Grandma on the phone.
北京,北京,běi jīng,"Beijing, capital of People's Republic of China",我只有你一个女儿，我希望你以后回北京。”,我只有你一個女兒，我希望你以後回北京。”,wǒ zhǐ yǒu nǐ yí ge nǚ ér ， wǒ xī wàng nǐ yǐ hòu huí běi jīng 。”,"I only have you, my only daughter. I hope you will come back to Beijing in the future.”"
再说,再說,zài shuō,"to say again
to put off a discussion until later",她很不高兴地说：“妈……我好累。我要去学校了，我们以后再说吧。再见！”,她很不高興地說：“媽……我好累。我要去學校了，我們以後再說吧。再見！”,tā hěn bù gāo xìng de shuō ：“ mā …… wǒ hǎo lèi 。 wǒ yào qù xué xiào le ， wǒ men yǐ hòu zài shuō ba 。 zài jiàn ！”,"She was very unhappy and said, “Mom … I’m so tired. I need to go to school now. Let’s talk later. Bye!”"
只有,只有,zhǐ yǒu,"only (conjunction) 
have to",我只有你一个女儿，我希望你以后回北京。”,我只有你一個女兒，我希望你以後回北京。”,wǒ zhǐ yǒu nǐ yí ge nǚ ér ， wǒ xī wàng nǐ yǐ hòu huí běi jīng 。”,"I only have you, my only daughter. I hope you will come back to Beijing in the future.”"
问题,問題,wèn tí,"problem
question",“你和大北以后会有很多问题。你们想的东西不一样，吃的东西不一样。,“你和大北以後會有很多問題。你們想的東西不一樣，吃的東西不一樣。,“ nǐ hé dà běi yǐ hòu huì yǒu hěn duō wèn tí 。 nǐ men xiǎng de dōng xi bù yí yàng ， chī de dōng xi bù yí yàng 。,“You and Dabei will have many problems in the future. You think about different things. You eat different things.
累,累,lèi,"tired
to wear out",她很不高兴地说：“妈……我好累。我要去学校了，我们以后再说吧。再见！”,她很不高興地說：“媽……我好累。我要去學校了，我們以後再說吧。再見！”,tā hěn bù gāo xìng de shuō ：“ mā …… wǒ hǎo lèi 。 wǒ yào qù xué xiào le ， wǒ men yǐ hòu zài shuō ba 。 zài jiàn ！”,"She was very unhappy and said, “Mom … I’m so tired. I need to go to school now. Let’s talk later. Bye!”"
现在,現在,xiàn zài,"now
at present",“我知道你现在爱大北，但是以后呢？”姥姥说，,“我知道你現在愛大北，但是以後呢？”姥姥說，,“ wǒ zhī dào nǐ xiàn zài ài dà běi ， dàn shì yǐ hòu ne ？” lǎo lao shuō ，,"“I know you love Dabei now, but what about in the future?” Grandma said, .."
还有,還有,hái yǒu,"furthermore
also",还有，你们以后住在哪儿？你们有房子吗？你要去瑞典吗？,還有，你們以後住在哪兒？你們有房子嗎？你要去瑞典嗎？,hái yǒu ， nǐ men yǐ hòu zhù zài nǎ'r ？ nǐ men yǒu fáng zi ma ？ nǐ yào qù ruì diǎn ma ？,"Also, where will you live in the future? Do you have an apartment? Will you go to Sweden?"
觉得,覺得,jué de,"to think
to feel",妈妈又看了看钟，我觉得她不想和姥姥说话了。,媽媽又看了看鐘，我覺得她不想和姥姥說話了。,mā ma yòu kàn le kàn zhōng ， wǒ jué de tā bù xiǎng hé lǎo lao shuō huà le 。,Mom again looked at the clock. I thought that she didn’t want to talk to Grandma anymore.
和,和,hé,"and
with
together with",她还没有吃早饭，她还在和姥姥打电话。,她還沒有吃早飯，她還在和姥姥打電話。,tā hái méi yǒu chī zǎo fàn ， tā hái zài hé lǎo lao dǎ diàn huà 。,She still hadn’t eaten breakfast. She was still talking to Grandma on the phone.
钟,鐘,zhōng,"clock
o'clock",妈妈看了看钟，已经7点半了。,媽媽看了看鐘，已經7點半了。,mā ma kàn le kàn zhōng ， yǐ jīng 7 diǎn bàn le 。,Mom looked at the clock. It was already 7:30.
已经,已經,yǐ jīng,already,妈妈又看了看钟，已经七点五十分了。,媽媽又看了看鐘，已經七點五十分了。,mā ma yòu kàn le kàn zhōng ， yǐ jīng qī diǎn wǔ shí fēn le 。,Mom again looked at the clock. It was already 7:50.
一样,一樣,yí yàng,"same
like",“你和大北以后会有很多问题。你们想的东西不一样，吃的东西不一样。,“你和大北以後會有很多問題。你們想的東西不一樣，吃的東西不一樣。,“ nǐ hé dà běi yǐ hòu huì yǒu hěn duō wèn tí 。 nǐ men xiǎng de dōng xi bù yí yàng ， chī de dōng xi bù yí yàng 。,“You and Dabei will have many problems in the future. You think about different things. You eat different things.
有,有,yǒu,"to have
there is",“你和大北以后会有很多问题。你们想的东西不一样，吃的东西不一样。,“你和大北以後會有很多問題。你們想的東西不一樣，吃的東西不一樣。,“ nǐ hé dà běi yǐ hòu huì yǒu hěn duō wèn tí 。 nǐ men xiǎng de dōng xi bù yí yàng ， chī de dōng xi bù yí yàng 。,“You and Dabei will have many problems in the future. You think about different things. You eat different things.
会,會,huì,"likely to
sure to",“你和大北以后会有很多问题。你们想的东西不一样，吃的东西不一样。,“你和大北以後會有很多問題。你們想的東西不一樣，吃的東西不一樣。,“ nǐ hé dà běi yǐ hòu huì yǒu hěn duō wèn tí 。 nǐ men xiǎng de dōng xi bù yí yàng ， chī de dōng xi bù yí yàng 。,“You and Dabei will have many problems in the future. You think about different things. You eat different things.
呢,呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word
what about ...?
and ...?",“我知道你现在爱大北，但是以后呢？”姥姥说，,“我知道你現在愛大北，但是以後呢？”姥姥說，,“ wǒ zhī dào nǐ xiàn zài ài dà běi ， dàn shì yǐ hòu ne ？” lǎo lao shuō ，,"“I know you love Dabei now, but what about in the future?” Grandma said, .."
他,他,tā,"he or him
(used for either sex when the sex is unknown or unimportant)",他想来，他就可以来。你不想他来，他还是可以来。”,他想來，他就可以來。你不想他來，他還是可以來。”,tā xiǎng lái ， tā jiù kě yǐ lái 。 nǐ bù xiǎng tā lái ， tā hái shì kě yǐ lái 。”,"If he wants to come, he can come. If you don’t want him to come, he can still come.”"
怎么办,怎麼辦,zěn me bàn,"what to do
what should we do",“他来日本了？为什么？现在大北在这儿，他也在这儿，你怎么办？”,“他來日本了？為什麼？現在大北在這兒，他也在這兒，你怎麼辦？”,“ tā lái rì běn le ？ wèi shén me ？ xiàn zài dà běi zài zhè‘r ， tā yě zài zhè‘r ， nǐ zěn me bàn ？”,"“He came to Japan? Why? Now that Dabei is here, and he is also here, what are you going to do?”"
日本,日本,rì běn,Japan,“他来日本了？为什么？现在大北在这儿，他也在这儿，你怎么办？”,“他來日本了？為什麼？現在大北在這兒，他也在這兒，你怎麼辦？”,“ tā lái rì běn le ？ wèi shén me ？ xiàn zài dà běi zài zhè‘r ， tā yě zài zhè‘r ， nǐ zěn me bàn ？”,"“He came to Japan? Why? Now that Dabei is here, and he is also here, what are you going to do?”"
没事,沒事,méi shì,to be all right (out of danger or trouble),“我不知道他为什么来日本。没事，大北知道他。”……,“我不知道他為什麼來日本。沒事，大北知道他。”……,“ wǒ bù zhī dào tā wèi shén me lái rì běn 。 méi shì ， dà běi zhī dào tā 。”……,"“I don’t know why he came to Japan. It’s okay, Dabei knows about him.” …"
对,對,duì,"towards
at",“啊，果果，来！这是大北，我的男朋友。”妈妈对果果说。,“啊，果果，來！這是大北，我的男朋友。”媽媽對果果說。,“ a ， guǒ guǒ ， lái ！ zhè shì dà běi ， wǒ de nán péng you 。” mā ma duì guǒ guǒ shuō 。,"“Ah, Guoguo, come! This is Dabei, my boyfriend,” Mom said to Guoguo."
客人,客人,kè rén,"visitor
guest",果果来了，她看见了爸爸，就问妈妈：“有客人？小月，这是……？”,果果來了，她看見了爸爸，就問媽媽：“有客人？小月，這是……？”,guǒ guǒ lái le ， tā kàn jiàn le bà ba ， jiù wèn mā ma ： “ yǒu kè rén ？ xiǎo yuè ， zhè shì ……？”,"Guoguo came over. When she saw Dad, she asked Mom, “You have a guest? Little Yue, this is …?”"
事情,事情,shì qing,"matter
thing",“你好！大北！”果果笑了，“小月和我说了很多你们的事情，我很想认识你。,“你好！大北！”果果笑了，“小月和我說了很多你們的事情，我很想認識你。,“ nǐ hǎo ！ dà běi ！” guǒ guǒ xiào le ， “ xiǎo yuè hé wǒ shuō le hěn duō nǐ men de shì qing ， wǒ hěn xiǎng rèn shi nǐ 。,"“Hello! Dabei!” Guoguo smiled, “Little Yue has told me a lot about you. I really want to get to know you."
时间,時間,shí jiān,time,他在门外等了很长时间。我睡觉了，又起来了，他还在门外。,他在門外等了很長時間。我睡覺了，又起來了，他還在門外。,tā zài mén wài děng le hěn cháng shí jiān 。 wǒ shuì jiào le ， yòu qǐ lai le ， tā hái zài mén wài 。,"He waited for a long time outside the door. I went to sleep. When I got up again, he was still outside the door."
一会儿,一會兒,yí huì'r,"a moment
a while
coll. also pronounced yì huǐ'r",果果在门外等了一会儿，看到没有人开门，她就走了。,果果在門外等了一會兒，看到沒有人開門，她就走了。,guǒ guǒ zài mén wài děng le yí huì'r ， kàn dào méi yǒu rén kāi mén ， tā jiù zǒu le 。,"Guoguo waited outside the door for a while, and when she saw that no one was opening the door, she left."
出去,出去,chū qù,to go out,下午两点，爸爸妈妈出去了，我一个人在家。,下午兩點，爸爸媽媽出去了，我一個人在家。,xià wǔ liǎng diǎn ， bà ba mā ma chū qù le ， wǒ yí ge rén zài jiā 。,"At 2 pm, Mom and Dad had gone out, and I was at home alone."
蛋糕,蛋糕,dàn gāo,cake,我起来，看到门外是妈妈的好朋友果果，她拿着蛋糕。,我起來，看到門外是媽媽的好朋友果果，她拿著蛋糕。,wǒ qǐ lai ， kàn dào mén wài shì mā ma de hǎo péng you guǒ guǒ ， tā ná zhe dàn gāo 。,I got up and saw it was Mom’s good friend Guoguo outside the door. She was holding a cake.
起来,起來,qǐ lai,"to stand up
to get up",我起来，看到门外的人不是果果，是一个男人。这个人我不认识。,我起來，看到門外的人不是果果，是一個男人。這個人我不認識。,wǒ qǐ lai ， kàn dào mén wài de rén bú shì guǒ guǒ ， shì yí ge nán rén 。 zhè ge rén wǒ bú rèn shi 。,I got up and saw that the person outside was not Guoguo. It was a man. I didn’t recognize this person.
又,又,yòu,"(once) again
also",我又去睡觉。不一会儿，又有人在门外。果果又来了吗？,我又去睡覺。不一會兒，又有人在門外。果果又來了嗎？,wǒ yòu qù shuì jiào 。 bù yí huì'r ， yòu yǒu rén zài mén wài 。 guǒ guǒ yòu lái le ma ？,"I went to sleep again. After a while, someone was outside the door again. Had Guoguo come again?"
门外,門外,mén wài,outside the door,果果在门外等了一会儿，看到没有人开门，她就走了。,果果在門外等了一會兒，看到沒有人開門，她就走了。,guǒ guǒ zài mén wài děng le yí huì'r ， kàn dào méi yǒu rén kāi mén ， tā jiù zǒu le 。,"Guoguo waited outside the door for a while, and when she saw that no one was opening the door, she left."
开门,開門,kāi mén,"to open a door
to open for business",果果在门外等了一会儿，看到没有人开门，她就走了。,果果在門外等了一會兒，看到沒有人開門，她就走了。,guǒ guǒ zài mén wài děng le yí huì'r ， kàn dào méi yǒu rén kāi mén ， tā jiù zǒu le 。,"Guoguo waited outside the door for a while, and when she saw that no one was opening the door, she left."
看到,看到,kàn dào,"to notice
to see",果果在门外等了一会儿，看到没有人开门，她就走了。,果果在門外等了一會兒，看到沒有人開門，她就走了。,guǒ guǒ zài mén wài děng le yí huì'r ， kàn dào méi yǒu rén kāi mén ， tā jiù zǒu le 。,"Guoguo waited outside the door for a while, and when she saw that no one was opening the door, she left."
听见,聽見,tīng jiàn,to hear,我和果果说，妈妈出去了，但是果果没有听见。,我和果果說，媽媽出去了，但是果果沒有聽見。,wǒ hé guǒ guǒ shuō ， mā ma chū qù le ， dàn shì guǒ guǒ méi yǒu tīng jiàn 。,"I told Guoguo that Mom had gone out, but Guoguo didn’t hear me."
外面,外面,wài miàn,"outside
exterior",下午我们去看电影；晚上我们在外面吃饭，怎么样？”,下午我們去看電影；晚上我們在外面吃飯，怎麼樣？”,xià wǔ wǒ men qù kàn diàn yǐng ； wǎn shang wǒ men zài wài miàn chī fàn ， zěn me yàng ？”,We will go to the movies in the afternoon. We will eat out in the evening. How does that sound?”
请问,請問,qǐng wèn,"Excuse me, may I ask...?",“好了。请问大北服务员，多少钱？”妈妈笑着问爸爸。,“好了。請問大北服務員，多少錢？”媽媽笑著問爸爸。,“ hǎo le 。 qǐng wèn dà běi fú wù yuán ， duō shao qián ？” mā ma xiào zhe wèn bà ba 。,"“Finished. Excuse me, waiter Dabei, how much is it?” Mom asked Dad with a smile."
多少,多少,duō shao,"how much
how many",“好了。请问大北服务员，多少钱？”妈妈笑着问爸爸。,“好了。請問大北服務員，多少錢？”媽媽笑著問爸爸。,“ hǎo le 。 qǐng wèn dà běi fú wù yuán ， duō shao qián ？” mā ma xiào zhe wèn bà ba 。,"“Finished. Excuse me, waiter Dabei, how much is it?” Mom asked Dad with a smile."
漂亮,漂亮,piào liang,"pretty
beautiful
good-looking",爸爸笑了，“请问我们漂亮的高小月小姐，下午和晚上的时间能给我吗？”,爸爸笑了，“請問我們漂亮的高小月小姐，下午和晚上的時間能給我嗎？”,bà ba xiào le ， “ qǐng wèn wǒ men piào liang de gāo xiǎo yuè xiǎo jiě ， xià wǔ hé wǎn shang de shí jiān néng gěi wǒ ma ？”,"Dad smiled, “Excuse me, our beautiful Miss Gao Xiaoyue, can you give me some time in the afternoon and evening?”"
吧,吧,ba,"(indicates a suggested action)
(indicates a speculation)
(used to concede a point)",“好吧！”妈妈也笑了，“说吧，我的大北先生，你下午和晚上想干什么呢？”,“好吧！”媽媽也笑了，“說吧，我的大北先生，你下午和晚上想幹什麼呢？”,“ hǎo ba ！” mā ma yě xiào le ， “ shuō ba ， wǒ de dà běi xiān sheng ， nǐ xià wǔ hé wǎn shang xiǎng gàn shén me ne ？”,"“Okay!” Mom smiled, “Go ahead, my Mr. Dabei, tell me what you want to do in the afternoon and evening?”"
拿,拿,ná,"to hold
to take",妈妈笑了，她坐在桌子前面，爸爸给妈妈一杯茶，说：“请喝茶！我去拿菜！”,媽媽笑了，她坐在桌子前面，爸爸給媽媽一杯茶，說：“請喝茶！我去拿菜！”,mā ma xiào le ， tā zuò zài zhuō zi qián miàn ， bà ba gěi mā ma yì bēi chá ， shuō ： “ qǐng hē chá ！ wǒ qù ná cài ！”,"Mom smiled. She sat down at the table. Dad gave her a cup of tea and said, “Please have tea! I’ll bring the dishes!”"
说,說,shuō,"to say
to speak
to explain",爸爸给妈妈一个苹果，笑着说：“你今天只有上午有课，你先去上课。,爸爸給媽媽一個蘋果，笑著說：“你今天只有上午有課，你先去上課。,bà ba gěi mā ma yí ge píng guǒ ， xiào zhe shuō ： “ nǐ jīn tiān zhǐ yǒu shàng wǔ yǒu kè ， nǐ xiān qù shàng kè 。,"Dad gave Mom an apple and said with a smile, “You only have class in the morning today, you go to class now."
几,幾,jǐ,"a few
several
some",“大北！”妈妈大叫，“请你等几分钟，我就去。”,“大北！”媽媽大叫，“請你等幾分鐘，我就去。”,“ dà běi ！” mā ma dà jiào ， “ qǐng nǐ děng jǐ fēn zhōng ， wǒ jiù qù 。”,"“Dabei!” Mom yelled, “Please give me a few minutes; I’m coming.”"
知道,知道,zhī dào,"to know
to be aware of
to realize",妈妈在看书，但是她不想看书。我知道，妈妈想爸爸给她打电话。,媽媽在看書，但是她不想看書。我知道，媽媽想爸爸給她打電話。,mā ma zài kàn shū ， dàn shì tā bù xiǎng kàn shū 。 wǒ zhī dào ， mā ma xiǎng bà ba gěi tā dǎ diàn huà 。,"Mom was studying, but she did not want to study. I knew that Mom wanted Dad to call her."
着,著,zhe,(indicates continuing action or state),妈妈坐在椅子上，看着桌子上的电脑，,媽媽坐在椅子上，看著桌子上的電腦，,mā ma zuò zài yǐ zi shang ， kàn zhe zhuō zi shang de diàn nǎo ，,"Mom sat on the chair, looking at the computer on the table."
啊,啊,a,"(at the end of a sentence to show affirmation, approval, or consent)",“你的日语很好啊！,“你的日語很好啊！,“ nǐ de rì yǔ hěn hǎo a ！,“Your Japanese is very good!
地方,地方,dì fang,"area
place
territory",“电影很好看，但是因为是日语的，所以有些地方我不知道他们在说什么。”,“電影很好看，但是因為是日語的，所以有些地方我不知道他們在說什麼。”,“ diàn yǐng hěn hǎo kàn ， dàn shì yīn wèi shì rì yǔ de ， suǒ yǐ yǒu xiē dì fang wǒ bù zhī dào tā men zài shuō shén me 。”,"“The movie was very good. But because it was in Japanese, I didn’t understand what they were saying in some places.”"
有些,有些,yǒu xiē,"some
somewhat",“电影很好看，但是因为是日语的，所以有些地方我不知道他们在说什么。”,“電影很好看，但是因為是日語的，所以有些地方我不知道他們在說什麼。”,“ diàn yǐng hěn hǎo kàn ， dàn shì yīn wèi shì rì yǔ de ， suǒ yǐ yǒu xiē dì fang wǒ bù zhī dào tā men zài shuō shén me 。”,"“The movie was very good. But because it was in Japanese, I didn’t understand what they were saying in some places.”"
就,就,jiù,"as early as
already
right away",果果在门外等了一会儿，看到没有人开门，她就走了。,果果在門外等了一會兒，看到沒有人開門，她就走了。,guǒ guǒ zài mén wài děng le yí huì'r ， kàn dào méi yǒu rén kāi mén ， tā jiù zǒu le 。,"Guoguo waited outside the door for a while, and when she saw that no one was opening the door, she left."
后,後,hòu,"afterwards
later
post-",下午四点五十分，妈妈回家后，我和妈妈一起玩。,下午四點五十分，媽媽回家後，我和媽媽一起玩。,xià wǔ sì diǎn wǔ shí fēn ， mā ma huí jiā hòu ， wǒ hé mā ma yì qǐ wán 。,"After Mom comes home at 4:50 in the afternoon, I play with Mom."
所以,所以,suǒ yǐ,"therefore
as a result",因为我喜欢和妈妈一起玩，所以妈妈不在家的时候，我要睡觉。,因為我喜歡和媽媽一起玩，所以媽媽不在家的時候，我要睡覺。,yīn wèi wǒ xǐ huan hé mā ma yì qǐ wán ， suǒ yǐ mā ma bú zài jiā de shí hou ， wǒ yào shuì jiào 。,"Because I like playing with Mom, when Mom is not at home, I will sleep."
但是,但是,dàn shì,"but
however",我不喜欢一个人在家，但是妈妈要学习、要工作，没有时间在家和我玩。,我不喜歡一個人在家，但是媽媽要學習、要工作，沒有時間在家和我玩。,wǒ bù xǐ huan yí ge rén zài jiā ， dàn shì mā ma yào xué xí 、 yào gōng zuò ， méi yǒu shí jiān zài jiā hé wǒ wán 。,"I don’t like being at home by myself, but Mom must study and work. She doesn’t have time to play with me at home."
一,一,yī,"one
first",我的一天,我的一天,wǒ de yì tiān,My Day
前,前,qián,"before
ago",几个星期前，妈妈因为没有钱，吃米饭，不吃菜，,幾個星期前，媽媽因為沒有錢，吃米飯，不吃菜，,jǐ ge xīng qī qián ， mā ma yīn wèi méi yǒu qián ， chī mǐ fàn ， bù chī cài ，,"A few weeks ago, because Mom didn’t have any money, she only ate rice and didn’t eat any vegetables."
这样,這樣,zhè yàng,"this kind of
like this",爸爸不喜欢妈妈这样。,爸爸不喜歡媽媽這樣。,bà ba bù xǐ huan mā ma zhè yàng 。,Dad didn’t like Mom eating in this way.
一边,一邊,yì biān,"on the one hand
doing while",“喂，大北，今天我们这儿的天气很好，你们那儿呢？”妈妈一边吃早饭，一边问爸爸。,“喂，大北，今天我們這兒的天氣很好，你們那兒呢？”媽媽一邊吃早飯，一邊問爸爸。,“ wéi ， dà běi ， jīn tiān wǒ men zhè‘r de tiān qì hěn hǎo ， nǐ men nà'r ne ？” mā ma yì biān chī zǎo fàn ， yì biān wèn bà ba 。,"“Hello, Dabei. Today the weather here is very good, what about where you are?” Mom asked Dad whilst eating breakfast."
椅子,椅子,yǐ zi,chair,我在椅子上睡觉，这里不冷也不热。我很喜欢在这里睡觉。,我在椅子上睡覺，這裡不冷也不熱。我很喜歡在這裡睡覺。,wǒ zài yǐ zi shang shuì jiào ， zhè lǐ bù lěng yě bú rè 。 wǒ hěn xǐ huan zài zhè lǐ shuì jiào 。,"I sleep on the chair. Here, it’s neither cold nor hot. I really like sleeping here."
这里,這裡,zhè lǐ,here,我在椅子上睡觉，这里不冷也不热。我很喜欢在这里睡觉。,我在椅子上睡覺，這裡不冷也不熱。我很喜歡在這裡睡覺。,wǒ zài yǐ zi shang shuì jiào ， zhè lǐ bù lěng yě bú rè 。 wǒ hěn xǐ huan zài zhè lǐ shuì jiào 。,"I sleep on the chair. Here, it’s neither cold nor hot. I really like sleeping here."
